id,职位,城市,学历,工作年限,薪资,第一标签,第二标签,第三标签,技能库,公司名称,融资阶段,公司规模
4910076,数据分析师,杭州,本科,1-3年,8k-15k,开发|测试|运维类,数据开发,BI工程师,['数据分析'],保险师 · 微易信息科技,B轮,150-500人
5420463,数据分析师,深圳,本科,3-5年,13k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],随手科技,C轮,500-2000人
5524923,数据分析师（用户）,深圳,不限,不限,6k-10k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '数据库']",立创商城,A轮,150-500人
5896736,数据分析师（数据产品方向）,北京,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['商业', 'SQL', '数据分析']",网信,不需要融资,500-2000人
5900608,数据分析师,上海,本科,3-5年,10k-15k,开发|测试|运维类,数据开发,数据分析,['数据分析'],旖美科技,A轮,150-500人
5820001,数据分析师,上海,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,['数据分析'],ZRobot,未融资,50-150人
5935619,数据分析师,武汉,大专,1-3年,5k-8k,产品|需求|项目类,数据分析,数据分析,['数据分析'],去哪儿网,不需要融资,2000人以上
5409676,11124Z-数据分析工程师-云技术服务,深圳,本科,3-5年,20k-40k,开发|测试|运维类,数据开发,数据分析,"['Hadoop', 'Spark', '数据分析', '数据挖掘']",平安科技,不需要融资,2000人以上
4757404,数据分析师-深圳,深圳,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '可视化', '数据分析']",神策数据,C轮,150-500人
5959158,数据分析师,深圳,大专,3-5年,10k-15k,产品|需求|项目类,数据分析,数据分析,"['BI', 'SQL', '数据分析', '数据运营']",华策,未融资,50-150人
5622525,数据分析师,重庆,本科,1-3年,6k-12k,产品|需求|项目类,数据分析,数据分析,['数据分析'],赛迪信息,不需要融资,500-2000人
4112258,数据分析师,广州,本科,1-3年,8k-15k,产品|需求|项目类,数据分析,数据分析,"['可视化', '数据分析', 'SPSS']",DataStory,B轮,150-500人
5900692,数据分析师,北京,本科,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '数据运营']",国美控股集团,不需要融资,2000人以上
